project,mutant_id,class,method,line,mutator,description,pit_status,reason
commons-beanutils,5109d814a7d3,org.apache.commons.beanutils.BasicDynaBean,isAssignable,427,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,ambiguous_pitmus_match_17
commons-beanutils,5109d814a7d3,org.apache.commons.beanutils.BasicDynaBean,isAssignable,427,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_17
commons-beanutils,5109d814a7d3,org.apache.commons.beanutils.BasicDynaBean,isAssignable,427,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_17
commons-beanutils,f88d2a6359cc,org.apache.commons.beanutils.BasicDynaBean,isAssignable,427,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_17
commons-beanutils,f88d2a6359cc,org.apache.commons.beanutils.BasicDynaBean,isAssignable,427,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_17
commons-beanutils,2de2bc7d4aa9,org.apache.commons.beanutils.LazyDynaClass,getDynaProperty,327,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_3
commons-beanutils,f06a263fca0e,org.apache.commons.beanutils.LazyDynaClass,getDynaProperty,327,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_3
commons-beanutils,a194047caa49,org.apache.commons.beanutils.ConvertUtilsBean,convert,568,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,MEMORY_ERROR,ambiguous_pitmus_match_3
commons-beanutils,aad2340f6dc6,org.apache.commons.beanutils.ConvertUtilsBean,convert,583,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-beanutils,a2c982185009,org.apache.commons.beanutils.converters.AbstractArrayConverter,parseElements,170,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-beanutils,00bec775de33,org.apache.commons.beanutils.BeanUtilsBean,initCause,1053,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,00bec775de33,org.apache.commons.beanutils.BeanUtilsBean,initCause,1053,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,99ff1072c155,org.apache.commons.beanutils.BeanUtilsBean,initCause,1053,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-beanutils,99ff1072c155,org.apache.commons.beanutils.BeanUtilsBean,initCause,1053,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-beanutils,ca20b113eeef,org.apache.commons.beanutils.LazyDynaBean,createProperty,656,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-beanutils,ba3531675f87,org.apache.commons.beanutils.PropertyUtilsBean,setPropertyOfMapBean,1982,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,ba3531675f87,org.apache.commons.beanutils.PropertyUtilsBean,setPropertyOfMapBean,1982,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-beanutils,5960c688f338,org.apache.commons.beanutils.PropertyUtilsBean,setPropertyOfMapBean,1982,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-beanutils,c861cc46549f,org.apache.commons.beanutils.PropertyUtilsBean,setPropertyOfMapBean,1988,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-beanutils,7fd6da0ca64f,org.apache.commons.beanutils.PropertyUtilsBean,setPropertyOfMapBean,1988,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,no_pitmus_match
commons-beanutils,273521d39772,org.apache.commons.beanutils.converters.AbstractConverter,handleMissing,308,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
