project,mutant_id,class,method,line,mutator,description,pit_status,reason
commons-jexl3,c79879ec7330,org.apache.commons.jexl3.JexlArithmetic,narrowNumber,561,RemoveConditionalMutator_ORDER_ELSE,removed conditional - replaced comparison check with false,SURVIVED,ambiguous_pitmus_match_2
commons-jexl3,1b9c1e80763d,org.apache.commons.jexl3.internal.introspection.AbstractExecutor,castString,65,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-jexl3,1b9c1e80763d,org.apache.commons.jexl3.internal.introspection.AbstractExecutor,castString,65,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-jexl3,56399a41b6fd,org.apache.commons.jexl3.internal.introspection.AbstractExecutor,castString,65,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-jexl3,56399a41b6fd,org.apache.commons.jexl3.internal.introspection.AbstractExecutor,castString,65,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,ambiguous_pitmus_match_2
commons-jexl3,a5a107238700,org.apache.commons.jexl3.internal.Interpreter,visit,506,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,ambiguous_pitmus_match_2
commons-jexl3,e83a51074788,org.apache.commons.jexl3.internal.Interpreter,visit,519,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-jexl3,d5ac39df13fa,org.apache.commons.jexl3.internal.Interpreter,visit,519,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-jexl3,17dbd7be2cdd,org.apache.commons.jexl3.parser.ParserTokenManager,jjMoveStringLiteralDfa1_2,2409,PrimitiveReturnsMutator,replaced int return with 0 for org/apache/commons/jexl3/parser/ParserTokenManager::jjMoveStringLiteralDfa1_2,KILLED,no_pitmus_match
commons-jexl3,55cc23a7285c,org.apache.commons.jexl3.parser.ParserTokenManager,jjMoveStringLiteralDfa1_2,2367,PrimitiveReturnsMutator,replaced int return with 0 for org/apache/commons/jexl3/parser/ParserTokenManager::jjMoveStringLiteralDfa1_2,KILLED,no_pitmus_match
